#light_curve_number,stellar_mag,T0(days),Porb(days),impact_parameter,rho_star(g/cm^2),rp_rs,u1,u2,             S+2015_lc_number,activity_level,stellar_period,             Teff,log_g,metallicity,cont_q1q5,cont_q2q6,cont_q3q7,cont_q4q8
   0, 8.23,163.6017846,261.7605620,0.8734863,1.7638520,0.0387057,0.2311789,0.6650376,656,1.8500,39.60,6580.8110,3.7852,-0.0105,0.0400,0.0847,0.0965,0.0856
   1, 10.33,155.8369422,265.1450336,0.7267478,2.0811938,0.0734478,0.4490672,0.2719605,900,1.8100,53.48,5512.1950,4.5046,0.0526,0.0844,0.0754,0.0076,0.0208
   2, 10.29,129.3199193,139.3153568,0.6206204,1.9711414,0.0125267,0.7603905,-0.2971919,148,1.4700,40.82,5943.6130,4.0249,0.2235,0.0979,0.0406,0.0600,0.0775
   3, 10.38,123.1026811,294.6030338,0.8120472,1.0812609,0.0279852,1.1645968,-0.3555534,373,1.7700,23.00,6648.7570,4.3177,-0.1148,0.0939,0.0960,0.0678,0.0211
   4, 10.87,108.7030156,218.4865472,0.8471983,2.5433313,0.0187796,1.5281288,-0.5579838,546,0.5300,44.13,5512.1950,4.5046,0.0526,0.0502,0.0168,0.0334,0.0545
   5, 8.37,11.0369125,292.8241733,0.4324625,0.8281228,0.0835560,0.0057425,0.0709374,819,0.3800,13.95,6648.7570,4.3177,-0.1148,0.0930,0.0362,0.0950,0.0063
   6, 10.18,37.9702783,201.4317613,0.9527076,2.4647879,0.0106136,0.5409705,-0.0124398,696,1.3000,21.69,6516.5270,4.0217,0.0950,0.0081,0.0079,0.0240,0.0784
   7, 8.38,86.1048510,344.6010225,0.4082770,1.2741360,0.0725370,0.5448164,-0.0376792,292,0.7200,42.73,5943.6130,4.0249,0.2235,0.0561,0.0200,0.0456,0.0964
   8, 8.52,2.7649434,8.4765550,1.0324491,1.8146352,0.0483598,0.3890838,0.1651312,617,0.3300,14.05,5512.1950,4.5046,0.0526,0.0158,0.0756,0.0206,0.0324
   9, 10.58,276.4957363,294.1238475,0.7995006,2.5364913,0.0671600,0.8482670,-0.3667349,158,0.5800,29.03,5943.6130,4.0249,0.2235,0.0920,0.0806,0.0753,0.0798
  10, 9.72,15.1630953,25.7158672,0.9123955,2.9880041,0.0110748,0.0075627,0.6946543,462,0.9600,14.83,6648.7570,4.3177,-0.1148,0.0030,0.0350,0.0357,0.0171
  11, 9.48,5.2324365,148.1061978,0.0635617,1.9035127,0.0342328,0.9483163,-0.3673975,83,2.9900,13.93,6580.8110,3.7852,-0.0105,0.0552,0.0623,0.0877,0.0675
  12, 9.48,178.6295938,299.4127742,0.7016761,1.2575826,0.0390739,0.7655473,0.2245694,425,0.8600,4.84,6580.8110,3.7852,-0.0105,0.0111,0.0986,0.0645,0.0394
  13, 8.97,5.6577415,113.5699317,0.4705564,2.5977936,0.0753194,0.4365505,0.3341385,174,0.3600,21.75,6516.5270,4.0217,0.0950,0.0387,0.0983,0.0341,0.0060
  14, 10.85,48.4625386,195.6568529,0.3512011,2.3442944,0.0932156,0.2215509,0.6026444,382,2.8300,42.31,6580.8110,3.7852,-0.0105,0.0930,0.0040,0.0627,0.0605
  15, 10.69,117.1902009,120.4412702,0.7642869,1.1800852,0.0585982,0.0663699,0.8077743,231,0.5000,20.70,5512.1950,4.5046,0.0526,0.0255,0.0487,0.0156,0.0551
  16, 8.84,30.5129961,31.9273224,0.5218271,2.0181668,0.0232340,0.0517540,0.4004081,309,1.4100,39.40,6516.5270,4.0217,0.0950,0.0970,0.0587,0.0888,0.0126
  17, 8.78,68.9617666,194.5572247,0.8814037,1.5855375,0.0489359,1.0818104,-0.4625806,129,1.0000,35.98,6580.8110,3.7852,-0.0105,0.0911,0.0160,0.0993,0.0954
  18, 9.81,112.2044801,303.9960753,0.0014568,0.8288864,0.0160986,0.0051085,0.3904157,321,2.4300,23.20,5943.6130,4.0249,0.2235,0.0021,0.0293,0.0909,0.0094
  19, 10.24,76.2301478,220.4046820,1.0214210,1.1281601,0.0739670,0.4045242,0.2531470,908,0.4000,6.41,6516.5270,4.0217,0.0950,0.0494,0.0282,0.0656,0.0900
  20, 10.27,25.9843248,310.8067222,0.4090321,2.4814027,0.0136559,1.5259801,-0.5960216,51,0.5200,50.05,5943.6130,4.0249,0.2235,0.0897,0.0406,0.0633,0.0554
  21, 8.79,88.2094709,200.5710459,0.6388471,2.1642255,0.0374092,0.2949863,0.1698991,287,0.4700,10.31,5943.6130,4.0249,0.2235,0.0521,0.0144,0.0309,0.0770
  22, 10.49,39.4210016,40.0567349,0.4454181,1.9515049,0.0378676,0.8685674,-0.0026887,887,0.4000,18.37,6648.7570,4.3177,-0.1148,0.0757,0.0307,0.0926,0.0930
  23, 10.87,282.2623038,342.4118004,0.3056731,1.5432658,0.0679772,0.0189432,0.1802906,664,0.8300,28.19,5943.6130,4.0249,0.2235,0.0975,0.0079,0.0690,0.0708
  24, 8.19,34.1943822,107.7975167,0.7366273,2.9686126,0.0131910,1.1469265,-0.5017448,511,1.4100,25.31,5512.1950,4.5046,0.0526,0.0795,0.0243,0.0620,0.0498
  25, 10.46,81.8704983,336.4469538,0.2197143,2.1588518,0.0124953,0.5230556,-0.2365126,10,1.0300,35.23,6580.8110,3.7852,-0.0105,0.0559,0.0510,0.0845,0.0005
  26, 8.94,189.4220845,288.7324770,0.1730264,2.6672936,0.0419596,0.2183557,0.2165766,506,2.4900,10.97,6648.7570,4.3177,-0.1148,0.0767,0.0758,0.0409,0.0070
  27, 8.09,54.2033089,136.0288204,0.4665177,1.8296863,0.0236992,0.5094627,0.3046168,681,0.8100,47.74,6580.8110,3.7852,-0.0105,0.0535,0.0949,0.0592,0.0777
  28, 8.28,20.4206276,47.2108031,0.2575417,2.6439576,0.0117271,1.2530932,-0.5049620,231,0.5000,20.70,5943.6130,4.0249,0.2235,0.0612,0.0124,0.0510,0.0306
  29, 10.03,5.4844242,19.6998195,0.4852518,2.7587521,0.0682084,0.7429372,-0.3489429,480,1.3100,18.30,5512.1950,4.5046,0.0526,0.0871,0.0710,0.0009,0.0928
  30, 9.59,17.6766084,114.2219809,0.0742074,2.2147511,0.0340271,0.0162138,0.0363111,508,2.5700,40.59,6648.7570,4.3177,-0.1148,0.0693,0.0481,0.0628,0.0365
  31, 10.84,35.7915973,47.5188308,0.3373818,1.8494290,0.0311668,1.1671901,-0.5565625,43,1.3900,12.01,5943.6130,4.0249,0.2235,0.0448,0.0165,0.0591,0.0969
  32, 9.47,3.4423884,93.5817024,0.0666725,1.0892971,0.0608097,0.8382722,-0.0936895,507,0.9600,41.15,5512.1950,4.5046,0.0526,0.0143,0.0341,0.0715,0.0183
  33, 9.67,13.2820461,242.2968307,0.2749999,2.4298181,0.0642578,0.0325403,0.0514887,746,0.6500,30.63,5512.1950,4.5046,0.0526,0.0183,0.0502,0.0829,0.0064
  34, 10.29,42.2568905,349.8031837,0.7298716,1.4798839,0.0884709,0.0659503,0.3513664,460,0.3200,24.75,5512.1950,4.5046,0.0526,0.0939,0.0686,0.0248,0.0330
  35, 8.23,91.4950703,207.1530470,0.4737165,1.4929926,0.0729790,0.2597764,0.0861697,891,0.4400,8.56,5512.1950,4.5046,0.0526,0.0078,0.0919,0.0284,0.0620
  36, 10.76,49.4402104,360.5909927,0.8577635,2.1032393,0.0751177,1.3747116,-0.4504218,667,0.7700,52.63,5943.6130,4.0249,0.2235,0.0146,0.0173,0.0164,0.0797
  37, 10.29,99.3965878,340.9134793,0.1463011,0.9307594,0.0119166,0.0458518,0.3596426,596,1.0300,16.45,5943.6130,4.0249,0.2235,0.0792,0.0620,0.0553,0.0157
  38, 8.13,155.0040714,267.2120033,0.9818652,1.6724920,0.0124792,1.1919362,-0.3152447,976,2.5400,27.52,5512.1950,4.5046,0.0526,0.0395,0.0045,0.0344,0.0679
  39, 10.37,208.3813069,231.8220404,0.3722251,1.3691658,0.0814284,0.0991775,0.1364939,311,0.8200,44.78,6580.8110,3.7852,-0.0105,0.0214,0.0689,0.0245,0.0567
  40, 10.53,16.3269779,147.4508604,0.4735307,2.3340738,0.0139260,0.0778209,0.6128050,642,2.1200,26.27,6648.7570,4.3177,-0.1148,0.0834,0.0757,0.0164,0.0881
  41, 8.60,79.0642452,323.1464643,0.7527041,1.4913431,0.0122674,0.9029825,-0.2487566,885,0.4200,18.46,6648.7570,4.3177,-0.1148,0.0875,0.0822,0.0213,0.0274
  42, 9.08,88.0483752,108.6017406,0.0538217,0.9989678,0.0213358,1.2337813,-0.4406753,88,2.2500,31.55,6580.8110,3.7852,-0.0105,0.0279,0.0741,0.0642,0.0709
  43, 9.89,139.2090789,350.4277064,0.8233792,1.0530303,0.0277183,0.2186449,0.1233853,613,0.7500,32.82,6516.5270,4.0217,0.0950,0.0513,0.0973,0.0858,0.0110
  44, 8.53,4.5891221,39.9130544,0.9835885,0.8854110,0.0188107,1.2907759,-0.4192531,554,1.3200,32.32,6516.5270,4.0217,0.0950,0.0542,0.0919,0.0989,0.0930
  45, 8.75,20.5733043,158.4254867,0.6462805,2.2946197,0.0586526,0.6473833,-0.0150753,516,0.9500,19.21,5943.6130,4.0249,0.2235,0.0093,0.0492,0.0758,0.0903
  46, 8.10,181.4121582,260.5777054,0.5181094,1.7665811,0.0184226,0.5718443,0.1582089,963,0.4800,20.92,6580.8110,3.7852,-0.0105,0.0851,0.0017,0.0448,0.0882
  47, 9.15,110.1642802,162.5282721,0.7149984,1.3580709,0.0265111,0.4079147,0.1560441,807,3.0400,25.86,6580.8110,3.7852,-0.0105,0.0784,0.0005,0.0684,0.0226
  48, 10.64,33.2845998,359.3456888,0.5544061,2.8511969,0.0568775,0.9007206,-0.4332564,350,0.7200,16.83,6516.5270,4.0217,0.0950,0.0576,0.0546,0.0716,0.0032
  49, 8.84,16.7007142,40.9600419,0.7059236,1.9510445,0.0560363,0.8058358,0.1476876,610,1.9100,41.94,6516.5270,4.0217,0.0950,0.0972,0.0824,0.0010,0.0291
  50, 10.28,232.2019497,326.9320580,0.5318479,1.9707087,0.0116736,0.6262332,-0.1397665,207,0.5300,35.35,6580.8110,3.7852,-0.0105,0.0352,0.0207,0.0965,0.0031
  51, 10.83,18.5767315,50.6864266,0.3205533,1.8959888,0.0232509,1.4064914,-0.6075804,849,0.6200,45.61,6648.7570,4.3177,-0.1148,0.0611,0.0714,0.0409,0.0322
  52, 9.53,323.0322595,343.5693599,0.5322035,1.8356178,0.0342931,0.5760341,0.3151653,522,0.3400,31.36,6648.7570,4.3177,-0.1148,0.0622,0.0544,0.0197,0.0264
  53, 10.23,75.8734640,363.0975384,0.5172639,1.6224700,0.0121423,0.1647339,0.0146037,944,1.8100,35.14,6580.8110,3.7852,-0.0105,0.0547,0.0320,0.0182,0.0402
  54, 10.71,32.7054961,247.5586276,0.3063797,1.9307561,0.0496045,1.0233652,-0.4499184,855,1.0400,29.68,5512.1950,4.5046,0.0526,0.0656,0.0217,0.0101,0.0265
  55, 8.07,159.2144474,315.0613952,0.5132786,1.8787545,0.0404331,0.9575621,-0.1359591,469,1.3300,67.23,6580.8110,3.7852,-0.0105,0.0091,0.0102,0.0282,0.0845
  56, 8.44,18.6457848,124.9133603,0.9710585,1.1196211,0.0969069,0.6270332,0.2273771,833,1.7400,26.24,6580.8110,3.7852,-0.0105,0.0629,0.0757,0.0605,0.0040
  57, 9.27,51.8639442,283.7711928,0.5813588,1.7657710,0.0250074,0.7709095,0.1823673,754,1.7700,23.37,6580.8110,3.7852,-0.0105,0.0381,0.0978,0.0594,0.0614
  58, 8.60,7.7490126,245.6768956,0.1382169,2.1851552,0.0409182,0.2134634,-0.0280927,270,1.1700,12.98,5512.1950,4.5046,0.0526,0.0783,0.0862,0.0124,0.0751
  59, 9.76,72.2831357,190.5421544,0.7346177,2.4796738,0.0113969,0.1121660,0.8684674,471,0.3900,16.88,6516.5270,4.0217,0.0950,0.0460,0.0627,0.0220,0.0262
  60, 8.31,200.3271025,294.1449559,0.7958253,2.3633703,0.0268619,0.5424526,0.4404242,964,0.3500,1.17,6648.7570,4.3177,-0.1148,0.0336,0.0215,0.0727,0.0471
  61, 8.69,77.1974602,86.5325095,0.1434255,1.8105273,0.0257014,0.8540286,0.1141307,684,2.3900,31.97,6580.8110,3.7852,-0.0105,0.0372,0.0344,0.0222,0.0743
  62, 8.22,23.3226781,242.0549961,0.9226010,1.7670991,0.0539913,0.0124617,0.7916692,530,0.4000,35.12,5943.6130,4.0249,0.2235,0.0820,0.0899,0.0792,0.0754
  63, 9.92,5.9840156,11.0547559,0.3822344,1.8089578,0.0295853,1.3192109,-0.4383743,130,3.0800,27.91,5512.1950,4.5046,0.0526,0.0308,0.0313,0.0609,0.0046
  64, 9.28,20.4594422,28.5685421,0.6336848,1.1230262,0.0353715,0.0565576,0.8593073,630,0.4000,42.75,6516.5270,4.0217,0.0950,0.0526,0.0864,0.0928,0.0728
  65, 10.26,6.8582286,88.9814618,0.1544105,2.6113220,0.0115623,1.5501359,-0.7369478,255,1.5300,46.27,6580.8110,3.7852,-0.0105,0.0432,0.0330,0.0655,0.0345
  66, 8.10,21.3812735,40.8875405,0.8859684,2.9215503,0.0133182,0.3325113,0.2267255,395,2.9100,48.73,6580.8110,3.7852,-0.0105,0.0881,0.0336,0.0411,0.0921
  67, 8.64,39.2221362,294.8213180,0.0684272,1.9357454,0.0241646,0.3810988,0.0378078,225,0.9200,10.55,6648.7570,4.3177,-0.1148,0.0030,0.0217,0.0125,0.0380
  68, 8.59,107.0993617,269.1196836,0.0336339,1.4068595,0.0193648,0.2998094,0.2036528,816,0.4100,14.95,5943.6130,4.0249,0.2235,0.0053,0.0281,0.0630,0.0444
  69, 9.29,95.6104839,295.1721132,1.0013470,1.3079227,0.0172263,0.7794542,-0.1793615,338,1.7200,11.95,5943.6130,4.0249,0.2235,0.0495,0.0873,0.0807,0.0738
  70, 10.69,257.5010987,312.0398789,0.0670174,0.9318007,0.0331594,1.0459564,-0.4781192,203,0.4000,25.47,6516.5270,4.0217,0.0950,0.0066,0.0819,0.0052,0.0682
  71, 8.34,107.7152116,235.2128312,0.5702200,0.9394599,0.0394458,0.0751017,0.0389136,470,0.8300,21.30,5512.1950,4.5046,0.0526,0.0529,0.0217,0.0281,0.0717
  72, 9.40,6.2787224,31.7598179,0.0050976,1.9823082,0.0250436,0.1090123,0.1389958,44,2.4600,16.81,5512.1950,4.5046,0.0526,0.0989,0.0312,0.0599,0.0738
  73, 9.94,269.8253318,311.3725575,0.2458295,1.3009730,0.0837296,0.6084029,0.2622582,713,1.4300,25.46,6648.7570,4.3177,-0.1148,0.0122,0.0468,0.0761,0.0574
  74, 8.99,9.7782064,10.2690029,0.7255541,2.6284613,0.0853883,0.6459473,0.2011204,467,2.6200,14.59,6516.5270,4.0217,0.0950,0.0135,0.0143,0.0747,0.0442
  75, 10.40,208.7600674,276.4350419,0.3221045,1.0032188,0.0183360,0.0580063,0.2599661,936,1.4700,21.79,5943.6130,4.0249,0.2235,0.0825,0.0262,0.0654,0.0712
  76, 8.39,217.1171750,305.7279452,0.1018210,2.5258309,0.0177523,0.1998959,-0.0455513,199,0.7300,31.08,5943.6130,4.0249,0.2235,0.0189,0.0914,0.0559,0.0640
  77, 9.54,66.2588350,188.6823133,0.8218512,2.0193158,0.0996271,0.7289085,-0.3144518,764,2.8900,10.75,5943.6130,4.0249,0.2235,0.0707,0.0536,0.0353,0.0938
  78, 8.60,189.7630553,206.7123401,0.2312385,1.7268331,0.0107497,0.1179522,0.0658526,709,2.0100,54.18,6648.7570,4.3177,-0.1148,0.0065,0.0065,0.0418,0.0006
  79, 10.54,59.4610214,92.7495287,0.3207489,1.5702937,0.0313320,0.0229302,0.4045032,297,1.8000,26.51,5512.1950,4.5046,0.0526,0.0518,0.0458,0.0421,0.0839
  80, 10.35,134.6682673,261.3485403,0.8548633,1.1818143,0.0523779,0.0204262,0.5456617,588,0.5000,12.35,6516.5270,4.0217,0.0950,0.0008,0.0655,0.0674,0.0898
  81, 8.16,110.1906121,189.9221526,0.6071135,2.7637498,0.0289621,0.7219945,-0.3063381,176,0.4300,38.97,6648.7570,4.3177,-0.1148,0.0693,0.0899,0.0639,0.0292
  82, 8.62,311.8077211,335.2598923,0.4525213,1.7084955,0.0102135,1.6300514,-0.7452953,236,0.8400,9.20,6516.5270,4.0217,0.0950,0.0919,0.0371,0.0950,0.0305
  83, 10.92,86.0282104,167.4740841,0.5391787,2.6195832,0.0261494,0.4554956,-0.0250543,47,2.6800,13.55,5943.6130,4.0249,0.2235,0.0727,0.0364,0.0758,0.0337
  84, 9.58,22.9086308,59.1130748,0.6122671,1.8723418,0.0298635,1.1039253,-0.3697431,404,1.7800,30.25,6580.8110,3.7852,-0.0105,0.0503,0.0911,0.0889,0.0130
  85, 9.05,71.6112604,127.3214374,0.6213103,2.5948843,0.0135898,1.0729072,-0.5248079,397,0.5300,13.10,6648.7570,4.3177,-0.1148,0.0722,0.0627,0.0474,0.0416
  86, 9.36,59.4047235,94.4207731,0.9503588,2.1557712,0.0996465,0.4533908,-0.0100367,164,1.0700,33.25,5943.6130,4.0249,0.2235,0.0323,0.0078,0.0777,0.0949
  87, 8.67,134.8732731,255.9573868,0.3701822,2.9929284,0.0451410,1.1752374,-0.3969993,217,1.4200,38.69,5512.1950,4.5046,0.0526,0.0311,0.0020,0.0694,0.0093
  88, 8.14,12.0929930,170.4200172,0.8061548,2.4118412,0.0236974,0.2082162,0.5822982,67,0.9300,1.32,6516.5270,4.0217,0.0950,0.0976,0.0133,0.0602,0.0348
  89, 9.88,47.7358373,94.4493964,0.8292431,2.8226074,0.0133976,0.5051655,0.3830489,748,0.4100,170.03,6580.8110,3.7852,-0.0105,0.0238,0.0498,0.0122,0.0324
  90, 10.43,37.0217233,40.9400802,0.8447098,2.4727531,0.0662260,0.5648152,0.4282149,226,0.8200,11.62,5512.1950,4.5046,0.0526,0.0274,0.0953,0.0374,0.0454
  91, 8.18,84.2490514,216.7788745,0.5711851,2.1700074,0.0643707,0.5582062,0.2872942,270,1.1700,12.98,5943.6130,4.0249,0.2235,0.0046,0.0349,0.0799,0.0962
  92, 9.45,21.9904221,27.4600750,0.7338925,0.9769335,0.0131789,0.2932577,0.3543238,296,0.7500,32.74,5943.6130,4.0249,0.2235,0.0644,0.0553,0.0678,0.0023
  93, 9.79,63.0519865,329.2846229,0.2943537,0.8334582,0.0107249,0.1437565,0.7773199,616,1.7700,27.51,6648.7570,4.3177,-0.1148,0.0050,0.0826,0.0824,0.0375
  94, 8.75,164.4318107,207.8546574,0.1216714,2.5045455,0.0660141,0.1843888,0.4901252,4,0.6100,70.03,6516.5270,4.0217,0.0950,0.0121,0.0450,0.0322,0.0651
  95, 10.85,21.0409739,48.2428975,0.5345958,2.0126260,0.0111300,1.0092164,-0.0220037,755,2.9800,3.33,6580.8110,3.7852,-0.0105,0.0620,0.0506,0.0456,0.0214
  96, 9.73,18.2170352,24.7314025,0.5202445,2.4788840,0.0856076,0.8564475,0.1223031,331,1.8100,46.67,5512.1950,4.5046,0.0526,0.0410,0.0455,0.0965,0.0041
  97, 8.33,149.1265554,174.8197275,0.7571453,1.8206315,0.0236186,0.4186168,0.4884538,465,3.0800,6.32,5512.1950,4.5046,0.0526,0.0324,0.0222,0.0504,0.0374
  98, 10.07,33.7238471,53.7082829,0.8129431,2.0089562,0.0190467,1.4854936,-0.4927116,206,0.7800,46.70,5512.1950,4.5046,0.0526,0.0362,0.0205,0.0897,0.0464
  99, 9.66,190.5685866,317.9447465,0.5743358,2.1300380,0.0406749,1.5152305,-0.6406309,792,2.0500,33.35,6580.8110,3.7852,-0.0105,0.0718,0.0797,0.0190,0.0089
 100, 8.63,31.1106871,47.5679242,0.1127072,2.9418935,0.0459594,0.2276034,0.7418267,328,2.1800,17.16,5943.6130,4.0249,0.2235,0.0121,0.0842,0.0599,0.0704
 101, 10.25,45.6152340,267.6975226,0.7815172,1.9981299,0.0174817,0.8565144,-0.0580995,677,0.9100,13.07,5943.6130,4.0249,0.2235,0.0865,0.0969,0.0070,0.0125
 102, 9.09,140.0838781,306.4382842,0.0915447,2.9339989,0.0700422,1.6840693,-0.8165999,685,2.2000,18.50,5512.1950,4.5046,0.0526,0.0853,0.0572,0.0369,0.0233
 103, 8.57,138.2801777,301.2650584,0.1704303,2.8564208,0.0161616,0.6153348,0.3566700,863,0.9200,16.54,5512.1950,4.5046,0.0526,0.0656,0.0852,0.0390,0.0700
 104, 9.93,0.1706559,9.1525554,0.4507338,2.7978776,0.0937999,0.8285727,-0.2187427,634,1.6400,22.24,5512.1950,4.5046,0.0526,0.0104,0.0988,0.0683,0.0773
 105, 8.38,5.3085510,131.9079564,0.5313255,2.7030662,0.0387571,1.6149597,-0.6454786,641,2.4100,16.46,5512.1950,4.5046,0.0526,0.0615,0.0052,0.0513,0.0155
 106, 8.40,56.2218893,341.3312928,0.6768294,1.6498137,0.0397218,0.4535813,-0.1050064,351,1.4800,38.68,6516.5270,4.0217,0.0950,0.0129,0.0984,0.0417,0.0167
 107, 9.50,183.2703935,318.8325840,0.0216297,2.5467208,0.0930100,0.0780959,0.2624127,624,2.1000,10.76,6580.8110,3.7852,-0.0105,0.0802,0.0983,0.0635,0.0397
 108, 8.06,177.6822669,238.6217031,0.0391143,1.2734643,0.0239281,1.0162492,-0.2458011,899,0.5400,18.85,5943.6130,4.0249,0.2235,0.0026,0.0177,0.0593,0.0626
 109, 10.56,53.5825546,68.2900554,0.7461244,2.7514685,0.0202988,0.0237142,0.5139786,747,1.7600,13.49,6580.8110,3.7852,-0.0105,0.0558,0.0156,0.0056,0.0637
 110, 8.06,7.4060619,8.2317095,0.1990593,1.3276949,0.0304089,0.3833143,-0.1168484,529,0.6800,25.28,6580.8110,3.7852,-0.0105,0.0389,0.0855,0.0783,0.0492
 111, 8.75,128.8497133,134.4346607,0.8088532,2.8566190,0.0277140,0.6411130,-0.1554032,592,1.1500,72.83,6648.7570,4.3177,-0.1148,0.0206,0.0247,0.0381,0.0732
 112, 9.64,68.9659275,115.7835321,0.2732939,2.1793552,0.0166010,0.4639461,0.4021125,242,1.3600,33.66,6516.5270,4.0217,0.0950,0.0657,0.0045,0.0409,0.0901
 113, 8.38,10.8922747,174.4803885,0.2689751,1.5658543,0.0473642,0.1771883,0.4963110,752,0.4500,43.41,5512.1950,4.5046,0.0526,0.0503,0.0590,0.0748,0.0537
 114, 10.94,119.9647783,361.0453992,0.6749315,2.0924791,0.0188906,1.1943192,-0.4404796,6,1.5700,38.77,5512.1950,4.5046,0.0526,0.0431,0.0480,0.0304,0.0447
 115, 9.72,37.7603231,201.2690520,0.1956836,0.9519990,0.0302546,0.7834510,-0.2642122,354,1.8000,27.66,5512.1950,4.5046,0.0526,0.0142,0.0423,0.0979,0.0121
 116, 10.05,138.4854524,271.4421411,0.3864402,2.8069351,0.0345932,1.3149344,-0.5010774,931,1.4400,18.96,6516.5270,4.0217,0.0950,0.0102,0.0275,0.0838,0.0844
 117, 9.57,308.8401748,352.0783155,0.2498908,1.3985093,0.0801740,0.2658962,-0.0579177,256,0.6300,23.66,5512.1950,4.5046,0.0526,0.0738,0.0521,0.0816,0.0067
 118, 8.08,22.0727126,302.9163292,0.8244366,1.2490588,0.0918769,0.0265141,0.6537432,831,0.8800,12.80,6580.8110,3.7852,-0.0105,0.0499,0.0509,0.0431,0.0517
 119, 8.79,5.3471909,23.6067327,0.2164593,1.1810069,0.0670835,1.3858069,-0.5153234,969,1.2500,26.24,6648.7570,4.3177,-0.1148,0.0024,0.0809,0.0468,0.0901
 120, 10.49,4.4123493,89.7424951,0.9742158,2.2091161,0.0139078,0.7470637,-0.1785345,845,1.7300,139.41,6580.8110,3.7852,-0.0105,0.0726,0.0904,0.0209,0.0624
 121, 10.32,127.3559967,188.7851399,0.8850841,2.9850368,0.0447556,0.2309919,0.7576588,463,0.6900,18.43,6580.8110,3.7852,-0.0105,0.0365,0.0026,0.0634,0.0790
 122, 10.00,223.9257579,266.3661257,0.6864515,1.4643573,0.0155874,0.0168999,0.7813158,687,0.3200,12.63,6516.5270,4.0217,0.0950,0.0998,0.0018,0.0099,0.0210
 123, 10.10,341.6671986,345.6938632,0.3563669,2.9851988,0.0155844,1.0201487,-0.4555888,860,1.0700,10.54,6580.8110,3.7852,-0.0105,0.0697,0.0002,0.0344,0.0483
 124, 10.31,262.3556630,279.6028896,0.6381523,2.0623180,0.0122025,0.6752463,-0.0336280,36,0.8200,2.04,6648.7570,4.3177,-0.1148,0.0990,0.0989,0.0746,0.0541
 125, 10.24,25.8378971,45.0020855,0.8880919,2.4256015,0.0212255,0.0348224,0.8910145,373,1.7700,23.00,6648.7570,4.3177,-0.1148,0.0565,0.0326,0.0721,0.0033
 126, 10.37,2.4458330,6.5492767,0.7212570,2.0282415,0.0803375,1.1963289,-0.5190400,950,2.8900,14.39,6580.8110,3.7852,-0.0105,0.0671,0.0829,0.0743,0.0038
